OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,Total_Units,Occ_Occupied,Occ_Vacant,Tenure_Owner,Tenure_Renter,Vacant_ForRent,Vacant_ForSale,Vacant_Other_All,HH_Total,HH_Family,HH_Married,HH_OtherFamily,HH_Male_NoSpouse,HH_Female_NoSpouse,HH_NonFamily,HH_NonFamilyAlone,HH_NonFamilyNotAlone,HH18_With18,HH18_FamilyWith18,HH18_NonFamilyWith18,HH18_No18,HH18_FamilyNo18,HH18_NonFamilyNo18,Age_U5,Age_5_9,Age_10_14,Age_15_17,Age_18_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85up,Med_Age,Med_Age_Male,Med_Age_Female,Shape__Area,Shape__Length
30,Rosemont Homeowners/Tenants,1273,20,1189,4,6,0,15,39,29,621,652,567,440,127,224,216,47,13,67,440,305,81,224,63,161,135,98,37,143,142,1,297,163,134,74,83,83,49,60,18,105,94,73,57,55,73,54,110,40,58,40,38,26,39,36,37.40000153,1756742.7868042,7028.14551944487
31,Sabina-Mattfeldt,187,181,2,0,1,0,0,3,0,86,101,91,85,6,65,20,0,4,2,85,55,48,7,1,6,30,23,7,24,23,1,61,32,29,12,12,7,2,0,2,4,17,18,23,24,18,7,5,10,7,16,0,1,43.5,46.29999924,41.29999924,3297295.94696045,10310.1446757682
32,Saint Agnes,574,185,325,0,8,0,20,36,24,308,266,270,265,5,87,178,1,0,4,265,118,63,55,11,44,147,128,19,53,52,1,212,66,146,17,19,19,7,20,11,38,46,27,39,29,53,36,48,39,36,23,17,16,47,47.40000153,50,2826380.3192749,8665.56054383719
33,Saint Helena,617,331,112,9,9,0,61,95,152,294,323,248,202,46,127,75,13,10,23,202,117,66,51,22,29,85,63,22,63,63,0,139,54,85,35,36,56,15,17,33,59,64,57,37,24,31,13,42,43,15,6,6,5,34,35.40000153,34.90000153,1582392.38757324,6295.65504575328
34,Saint Josephs,1594,29,1477,2,9,0,32,45,48,733,861,814,627,187,386,241,88,20,79,627,383,122,261,59,202,244,204,40,168,163,5,459,220,239,83,59,94,29,85,61,104,122,97,106,70,132,48,124,88,66,47,48,39,42.40000153,35.59999847,46.20000076,3894970.95227051,9239.74377401069
35,Stonewood-Pentwood-Winston,765,18,709,3,0,0,9,26,14,324,441,369,340,29,216,124,21,0,8,340,211,63,148,19,129,129,107,22,97,96,1,243,115,128,25,29,25,11,80,51,48,52,55,34,36,37,33,48,40,30,44,23,18,39.59999847,39.90000153,43.70000076,2604492.46643066,6896.52436005494
36,Taylor Heights,359,193,107,2,5,1,25,26,25,175,184,154,149,5,106,43,4,0,1,149,78,53,25,5,20,71,54,17,38,37,1,111,41,70,15,11,13,7,13,17,20,31,42,31,21,27,15,16,25,19,6,3,11,39.90000153,42.79999924,39.40000153,5346148.55023193,10385.1294536207
37,University of Maryland,602,200,265,0,76,0,22,39,45,280,322,483,401,82,3,398,56,0,26,401,50,17,33,10,23,351,316,35,18,18,0,383,32,351,11,5,3,3,21,102,166,88,58,39,10,25,10,36,8,5,2,1,4,31.60000038,35,30.10000038,4208039.58221436,10061.5706016436
38,Upton,4817,91,4412,13,36,9,55,201,94,2129,2688,2604,2180,424,221,1959,204,2,218,2180,990,185,805,112,693,1190,1022,168,649,646,3,1531,344,1187,373,406,381,81,245,166,288,349,316,249,204,308,167,340,251,176,108,63,72,36.09999847,34.90000153,38.40000153,8151916.73901367,15542.0040886384
39,Wakefield,1710,153,1457,3,24,0,19,54,36,748,962,1027,996,31,94,902,18,0,13,996,414,127,287,63,224,582,514,68,210,204,6,786,210,576,103,99,72,12,53,88,223,175,109,72,85,105,70,126,88,80,34,19,16,38,37,37.20000076,7612178.21276855,14422.1175869756
40,West Hills,1988,99,1771,4,11,0,17,86,38,889,1099,975,911,64,533,378,26,17,21,911,507,197,310,49,261,404,360,44,222,218,4,689,289,400,99,98,106,28,86,50,144,120,112,98,108,143,72,171,150,122,84,48,37,46,43.79999924,47.90000153,9351545.56378174,19698.8180608284
41,Wilson Park,1054,36,957,2,4,0,20,35,18,500,554,506,421,85,234,187,21,6,58,421,268,81,187,30,157,153,118,35,108,107,1,313,161,152,52,64,74,22,64,46,77,60,63,45,45,65,49,74,74,43,29,10,24,39.79999924,40,44.29999924,3413758.48352051,8207.87312942749
42,Woodbourne Heights,1621,39,1471,2,6,0,37,66,62,652,969,835,782,53,286,496,31,7,15,782,389,125,264,45,219,393,347,46,174,173,1,608,216,392,100,74,71,23,75,85,158,91,99,76,74,118,53,129,100,85,45,33,13,40.59999847,36.90000153,44.90000153,3751242.32867432,7797.27841029741
43,Wyndhurst,680,572,35,1,27,0,11,34,23,321,359,321,315,6,190,125,4,0,2,315,195,159,36,17,19,120,77,43,102,102,0,213,93,120,40,27,42,15,26,19,54,46,51,32,54,65,25,58,28,24,15,10,13,41.20000076,35.59999847,44.79999924,8463508.02374268,12949.2696543279
44,Edgewood,1995,34,1899,2,0,0,19,41,38,918,1077,867,678,189,392,286,59,34,96,678,463,117,346,52,294,215,175,40,261,256,5,417,207,210,118,142,160,43,113,48,132,124,130,109,82,102,67,134,108,86,55,53,50,38.79999924,33.09999847,41.70000076,3005778.07128906,7467.3580293908
45,Evesham Park,710,248,348,1,14,2,24,73,72,315,395,364,323,41,135,188,24,0,17,323,166,73,93,26,67,157,125,32,96,96,0,227,70,157,46,26,51,8,58,39,81,71,50,30,46,44,18,27,20,28,14,5,12,34.5,34.09999847,34.59999847,2047208.05969238,7083.96743057449
46,Belvedere,706,215,453,1,4,0,4,29,15,288,418,322,302,20,254,48,5,14,1,302,193,106,87,28,59,109,85,24,68,68,0,234,125,109,34,28,33,10,42,19,45,46,75,43,45,46,23,45,60,32,26,6,5,41.79999924,39.79999924,43.29999924,2888921.06982422,7743.90822716577
