OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,Total_Units,Occ_Occupied,Occ_Vacant,Tenure_Owner,Tenure_Renter,Vacant_ForRent,Vacant_ForSale,Vacant_Other_All,HH_Total,HH_Family,HH_Married,HH_OtherFamily,HH_Male_NoSpouse,HH_Female_NoSpouse,HH_NonFamily,HH_NonFamilyAlone,HH_NonFamilyNotAlone,HH18_With18,HH18_FamilyWith18,HH18_NonFamilyWith18,HH18_No18,HH18_FamilyNo18,HH18_NonFamilyNo18,Age_U5,Age_5_9,Age_10_14,Age_15_17,Age_18_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85up,Med_Age,Med_Age_Male,Med_Age_Female,Shape__Area,Shape__Length
168,Levindale,1077,130,897,1,5,0,15,29,27,534,543,531,489,42,137,352,5,13,24,489,190,66,124,29,95,299,273,26,88,88,0,401,102,299,19,35,45,13,29,22,29,60,55,43,28,38,57,95,142,120,67,61,78,55.59999847,53.79999924,57.70000076,4263172.25567627,9163.88492709542
169,Liberty Square,804,19,753,0,6,0,6,20,11,344,460,551,463,88,71,392,37,7,44,463,181,56,125,19,106,282,256,26,84,81,3,379,100,279,36,31,32,13,21,22,25,47,37,39,49,47,33,93,70,44,41,29,24,51.79999924,46.90000153,55.29999924,3271388.01477051,8549.27240865158
170,Little Italy,674,425,59,6,88,0,40,56,77,363,311,437,373,64,156,217,32,4,28,373,143,102,41,14,27,230,164,66,42,42,0,331,101,230,23,16,22,7,17,77,53,67,98,42,45,44,24,46,36,16,16,11,4,39.59999847,39.5,42.40000153,1395406.08111572,5207.91945381451
171,Loch Raven,5611,278,4956,9,122,6,67,173,100,2344,3267,2975,2796,179,1088,1708,88,23,68,2796,1349,553,796,141,655,1447,1305,142,607,600,7,2189,749,1440,247,263,297,87,250,224,410,396,371,301,296,304,151,439,461,332,226,111,126,43.79999924,41.20000076,46.09999847,15910382.7156372,19140.25094438
172,Lower Herring Run Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2420774.33630371,8035.44366283202
173,Loyola/Notre Dame,3158,1417,241,0,1127,1,138,234,341,1233,1925,26,23,3,17,6,0,0,3,23,16,14,2,0,2,7,4,3,5,5,0,18,11,7,3,3,4,2,2382,666,62,3,1,0,1,5,0,7,9,6,1,0,1,20.79999924,21.20000076,20.79999924,8355260.10968018,17702.9798560727
174,Madison Park,1925,330,1492,6,14,1,16,66,48,835,1090,1312,1089,223,91,998,120,8,95,1089,409,94,315,72,243,680,550,130,257,253,4,832,156,676,78,142,100,32,87,103,222,215,186,106,90,78,67,138,76,39,17,18,19,35.79999924,34.59999847,38,4434925.14105225,14267.1851321533
175,Madison-Eastend,1824,69,1520,6,10,0,140,79,187,884,940,861,677,184,235,442,68,17,99,677,485,114,371,73,298,192,146,46,294,294,0,383,191,192,117,156,140,31,90,75,151,128,98,114,88,116,59,126,94,76,30,18,16,35.09999847,30.20000076,38.40000153,3005460.10327148,7249.96468458863
176,Mayfield,858,565,167,3,27,0,13,83,44,426,432,371,348,23,308,40,10,0,13,348,236,179,57,11,46,112,91,21,98,96,2,250,140,110,49,52,50,15,20,21,55,56,62,55,56,45,32,64,74,57,20,15,6,44.29999924,42.29999924,44.09999847,3558864.10125732,8031.02461220121
177,McElderry Park,3690,379,2281,38,51,0,600,341,935,1690,2000,1631,1184,447,318,866,171,51,225,1184,729,261,468,92,376,455,302,153,471,465,6,713,264,449,313,303,249,84,204,182,352,351,306,228,189,190,81,137,151,105,38,23,14,32,30.5,32.59999847,3523164.17321777,8045.87057740147
178,Medfield,2791,1797,387,11,367,1,51,177,155,1367,1424,1413,1318,95,747,571,31,18,46,1318,631,439,192,50,142,687,498,189,286,283,3,1032,348,684,129,104,120,33,78,115,331,380,281,183,190,160,96,144,132,105,52,16,37,37.29999924,36.70000076,39.40000153,7253163.31896973,10680.4213400217
179,Medford,1284,379,305,7,8,0,486,99,606,639,645,613,589,24,158,431,19,0,5,589,305,145,160,55,105,284,229,55,204,198,6,385,107,278,86,77,73,23,74,66,123,110,114,73,69,47,58,63,59,45,29,17,20,34.90000153,33.29999924,36.59999847,4289066.95361328,8539.23522193424
180,Mid-Govans,1302,83,1130,1,18,1,19,50,22,591,711,606,510,96,291,219,42,13,41,510,322,103,219,44,175,188,139,49,153,152,1,357,170,187,72,62,110,30,74,51,94,106,85,68,51,70,29,115,70,57,43,24,31,38.20000076,32.90000153,39.09999847,3590775.09802246,7206.57682174334
181,Mid-Town Belvedere,4666,2439,1101,26,624,0,111,365,361,2276,2390,3885,3161,724,411,2750,456,24,244,3161,538,382,156,58,98,2623,2046,577,144,140,4,3017,398,2619,86,43,39,13,167,500,1083,855,481,230,180,184,128,203,142,110,80,37,23,33.59999847,36.59999847,32.5,6158449.35681152,10705.6496621543
182,Middle East,1872,289,1176,6,279,0,24,98,67,853,1019,1130,952,178,171,781,78,10,90,952,354,110,244,50,194,598,491,107,195,193,2,757,161,596,84,75,76,16,70,161,317,213,118,91,97,55,37,141,96,55,53,32,36,38,36.40000153,35.79999924,5513437.25054932,9428.58740505682
183,Midtown-Edmondson,1096,22,1000,1,8,2,22,41,33,519,577,659,438,221,143,295,43,9,169,438,258,55,203,41,162,180,132,48,113,112,1,325,146,179,69,73,71,16,61,32,47,76,59,66,67,87,57,67,71,38,23,20,18,40.79999924,39.79999924,38.20000076,4232863.70593262,11582.469728727
184,Milton-Montford,1088,61,917,5,13,0,39,53,55,477,611,519,415,104,200,215,37,0,67,415,231,58,173,44,129,184,135,49,120,118,2,295,113,182,76,57,87,17,62,32,85,120,94,58,60,53,33,47,48,43,29,16,14,34.70000076,35.5,34.79999924,1553511.58563232,5002.65942835525
185,Mondawmin,2900,262,2222,2,273,0,45,96,74,1234,1666,1498,1006,492,355,651,62,14,416,1006,500,148,352,68,284,506,422,84,255,251,4,751,249,502,130,131,109,40,518,222,140,148,148,104,93,153,89,228,169,132,72,69,64,39.20000076,38,40.90000153,10504871.4295044,13082.720431649
186,Montebello,48,16,22,0,0,0,5,5,7,16,32,10,5,5,4,1,0,0,5,5,4,0,4,2,2,1,1,0,3,3,0,2,1,1,6,0,3,0,0,1,1,7,2,4,0,2,0,3,2,4,7,2,0,44.5,54.29999924,43,13036606.0494385,15567.7684055218
187,Morgan State University,1589,579,137,3,734,0,31,105,74,591,998,2,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,3,1,1190,358,25,6,2,0,0,0,0,0,0,0,0,0,0,20.89999962,20.89999962,21.10000038,7343676.21270752,20838.0063419838
188,Morrell Park,3970,2183,914,27,145,2,394,305,598,1963,2007,1791,1582,209,850,732,81,19,109,1582,941,478,463,125,338,641,480,161,471,464,7,1111,477,634,224,257,256,47,193,167,284,302,315,273,231,277,131,298,210,143,83,52,48,39.09999847,39.09999847,38.5,23249726.4685669,18925.6909830244
189,Mosher,1103,12,1044,3,0,0,13,31,20,499,604,670,424,246,197,227,38,15,193,424,270,96,174,36,138,154,130,24,137,134,3,287,136,151,76,79,72,19,45,35,74,80,65,59,41,67,27,83,71,51,43,21,22,39.59999847,36.5,42.70000076,3213050.28692627,7162.7034326683
190,Mount Clare,1811,474,911,6,33,2,252,133,366,936,875,928,625,303,190,435,92,45,166,625,355,124,231,77,154,270,193,77,224,217,7,401,138,263,123,139,140,52,66,90,150,163,186,127,91,118,49,84,67,30,26,4,11,34.59999847,32.5,37.20000076,3188342.75140381,7406.38857700291
191,Mount Vernon,5497,2838,1557,20,572,2,98,410,369,2713,2784,4562,3993,569,272,3721,420,12,137,3993,560,379,181,64,117,3433,2777,656,186,183,3,3807,377,3430,80,43,51,19,154,514,1283,984,479,274,197,178,172,256,272,183,109,86,49,36.40000153,37.79999924,36,6320202.8147583,11607.8415000952
192,Mount Washington,4090,2799,737,9,132,0,87,326,175,1895,2195,1913,1763,150,1280,483,70,14,66,1763,1095,860,235,43,192,668,560,108,494,491,3,1269,604,665,221,204,245,88,130,84,154,258,280,263,271,309,120,244,287,268,145,125,189,47.20000076,45.20000076,47.90000153,34606514.9234619,26938.9854517298
193,Mount Winans,725,23,588,3,3,1,49,58,63,288,437,314,269,45,137,132,27,4,14,269,194,44,150,23,127,75,64,11,100,100,0,169,94,75,18,54,79,17,45,22,46,76,59,29,46,42,9,49,33,30,23,4,13,37,30.70000076,40.20000076,2369814.54376221,6601.91754583314
194,New Northwood,4517,134,4125,4,50,0,60,144,69,1927,2590,2122,1941,181,926,1015,99,24,58,1941,1129,367,762,130,632,812,574,238,499,491,8,1442,638,804,202,232,229,66,256,276,380,330,294,232,260,269,130,312,190,208,187,135,90,39.40000153,38.29999924,41.70000076,8942176.21478271,15954.0461060427
195,North Harford Road,5069,2364,2107,8,100,2,177,311,335,2413,2656,2308,2134,174,1647,487,36,63,75,2134,1240,767,473,113,360,894,712,182,525,519,6,1609,721,888,239,288,280,88,209,172,293,370,412,353,330,350,187,410,274,186,133,98,94,41.5,41.40000153,43.29999924,17848687.8446655,19410.2130303832
196,North Roland Park/Poplar Hill,1367,984,229,0,53,0,29,72,60,654,713,656,603,53,365,238,37,0,16,603,364,286,78,21,57,239,198,41,163,163,0,440,201,239,52,60,88,32,45,68,53,73,71,84,81,102,50,80,92,109,71,57,33,47.20000076,46.29999924,46.40000153,17101829.9848022,19399.2323101715
197,Northwest Community Action,1378,18,1310,3,0,0,12,35,16,650,728,701,567,134,219,348,54,7,73,567,345,67,278,41,237,222,175,47,187,186,1,380,159,221,80,92,94,34,84,46,74,92,62,63,79,107,57,116,82,38,52,7,27,40.90000153,35.70000076,43,3261244.55041504,8610.62359977547
198,Oakenshawe,971,619,106,3,125,0,28,90,68,505,466,511,455,56,243,212,21,7,28,455,200,140,60,21,39,255,177,78,78,76,2,377,124,253,43,23,29,11,95,114,97,99,72,43,52,56,20,53,40,39,22,14,5,36.09999847,34.79999924,35.29999924,1740838.3338623,5913.7267476653
199,Oldtown,2370,59,2191,5,5,0,34,76,58,1014,1356,1214,1137,77,143,994,49,0,28,1137,568,87,481,56,425,569,492,77,387,383,4,750,185,565,207,210,195,50,84,53,179,166,161,142,107,151,63,178,113,82,50,25,17,36,29.70000076,37.5,4680034.54534912,9583.10299916004
200,Oliver,3771,54,3536,16,10,0,49,106,78,1772,1999,1998,1489,509,487,1002,171,25,313,1489,820,169,651,154,497,669,541,128,442,437,5,1047,383,664,243,246,274,76,199,152,255,254,255,223,181,210,171,270,210,117,80,37,46,38.70000076,36.29999924,37.5,7335167.9932251,10859.5710607212
201,Orangeville,200,86,35,7,6,0,29,37,64,105,95,95,80,15,27,53,12,2,1,80,55,30,25,12,13,25,12,13,36,36,0,44,19,25,20,16,11,5,9,5,12,12,19,19,11,17,4,6,12,2,2,1,4,33.79999924,34.59999847,31.70000076,10316694.7017212,15683.3287174981
202,Original Northwood,1155,402,683,0,9,1,12,48,32,586,569,534,473,61,284,189,19,14,28,473,265,163,102,38,64,208,172,36,131,131,0,342,134,208,61,49,64,22,37,23,60,71,95,81,53,66,51,102,85,73,55,24,23,47.59999847,47.70000076,43.5,4805869.5032959,10606.2554839931
203,Overlea,797,363,312,6,13,2,25,76,39,433,364,307,270,37,228,42,13,11,13,270,172,102,70,22,48,98,67,31,78,75,3,192,97,95,28,59,66,31,80,16,78,46,49,48,53,52,23,42,33,26,12,17,12,36.09999847,35,39.40000153,8481100.22674561,13972.6599782188
204,Panway/Braddish Avenue,1280,12,1212,6,2,0,2,46,15,523,757,627,536,91,280,256,43,15,33,536,302,74,228,45,183,234,207,27,160,154,6,376,148,228,68,83,79,16,72,29,115,86,103,65,73,74,30,76,81,53,34,15,28,39.59999847,33.90000153,44.90000153,2427301.38122559,7522.97725473494
205,Park Circle,2437,138,2176,9,6,3,29,76,52,1178,1259,1397,1109,288,380,729,55,16,217,1109,482,164,318,82,236,627,565,62,198,195,3,911,287,624,118,136,163,50,87,70,123,168,109,133,131,151,120,229,206,138,81,51,66,47,47.40000153,46.20000076,8647647.23449707,14102.9452646808
206,Parklane,1796,78,1657,8,2,0,12,39,44,834,962,810,686,124,284,402,51,9,64,686,418,116,302,59,243,268,222,46,204,204,0,482,214,268,96,129,107,49,88,82,104,126,123,103,92,108,49,142,91,74,45,43,53,40.20000076,38.5,41.70000076,3452511.22271729,8235.91882406219
207,Patterson Park,19,6,0,0,0,0,1,12,7,6,13,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,3,0,0,1,1,5,6,0,1,0,0,0,0,0,0,0,0,0,29.20000076,31.29999924,22.5,6310100.39831543,10777.3066790107
208,Patterson Place,1171,496,334,8,72,0,161,100,234,609,562,538,465,73,300,165,21,14,38,465,227,113,114,35,79,238,144,94,100,99,1,365,128,237,63,44,58,27,42,76,200,187,119,88,43,61,32,49,23,18,4,5,6,31.89999962,32.5,31.79999924,1059435.21380615,4249.18555848293
209,Pen Lucy,2741,186,2372,8,17,0,25,133,50,1249,1492,1516,1340,176,388,952,58,10,108,1340,564,160,404,73,331,776,668,108,310,306,4,1030,258,772,132,137,176,39,148,134,200,200,211,141,160,182,124,204,146,97,64,43,30,39.29999924,37.5,40,4787084.35058594,9281.78191632559
210,Penn North,1613,50,1486,1,9,0,14,53,37,780,833,1043,712,331,216,496,69,16,246,712,353,82,271,56,215,359,304,55,168,165,3,544,188,356,101,88,124,32,83,43,126,123,95,100,79,96,62,123,111,53,45,25,30,38.90000153,38.70000076,40,3769467.21392822,8972.28330730659
211,Penrose/Fayette Street Outreach,2514,39,2367,4,9,0,21,74,40,1139,1375,1408,971,437,402,569,96,19,322,971,565,146,419,89,330,406,336,70,262,260,2,709,305,404,145,168,139,45,116,98,168,194,151,114,147,149,85,190,155,98,71,52,63,40.5,39.79999924,42.29999924,10378375.2850342,18043.7627295755
212,Perkins,858,28,773,3,9,0,18,27,33,318,540,621,347,274,12,335,48,3,223,347,193,30,163,9,154,154,125,29,132,132,0,215,61,154,53,89,108,24,43,30,53,79,69,40,28,56,18,40,37,13,12,4,1,30.39999962,24.10000038,32.70000076,1038722.55297852,4081.63808243872
213,Perring Loch,2752,81,2572,0,13,2,11,73,26,1147,1605,1162,1090,72,933,157,27,25,20,1090,724,308,416,49,367,366,314,52,291,281,10,799,443,356,113,137,193,62,135,61,130,155,147,176,133,194,65,188,213,204,148,75,51,46.40000153,41.79999924,48.70000076,6093945.97235107,10665.039368051
214,Poppleton,2910,70,2664,6,4,1,36,129,48,1263,1647,1584,1275,309,156,1119,237,15,57,1275,669,97,572,73,499,606,547,59,474,469,5,801,200,601,226,234,261,85,144,79,198,208,179,142,120,203,90,197,156,78,59,57,27,35.09999847,28.20000076,39.40000153,5080538.7947998,9331.79863385726
215,Pulaski Industrial Area,171,32,40,9,13,0,35,42,83,95,76,34,29,5,15,14,1,1,3,29,22,7,15,0,15,7,6,1,20,20,0,9,2,7,11,24,13,4,16,10,9,10,18,10,9,7,3,8,5,4,0,0,1,26.89999962,29.70000076,26.70000076,55014324.8024902,64183.5193431324
216,Radnor-Winston,552,275,200,4,14,1,5,53,27,286,266,245,223,22,142,81,1,6,15,223,123,83,40,10,30,100,85,15,60,60,0,163,63,100,34,34,31,7,23,16,20,30,54,30,21,37,23,37,34,46,15,16,18,44.90000153,42.09999847,47,2079220.91326904,6230.45893239269
217,Ramblewood,1670,53,1512,5,26,0,27,47,35,748,922,707,663,44,542,121,15,13,16,663,436,196,240,43,197,227,195,32,186,185,1,477,251,226,70,92,105,41,73,67,75,102,109,105,80,98,60,141,139,91,37,32,21,43.90000153,37.70000076,47.20000076,4368862.45202637,8689.02983568287
218,Remington,2678,1595,319,9,450,0,153,152,246,1360,1318,1386,1255,131,508,747,24,16,91,1255,409,262,147,51,96,846,486,360,163,158,5,1092,251,841,103,78,66,17,152,255,503,454,247,140,123,121,58,99,76,53,40,7,7,32.59999847,31.79999924,33.29999924,6840397.56793213,12683.7413306769
219,Reservoir Hill,5263,676,4162,22,54,3,67,279,139,2524,2739,3336,2791,545,822,1969,264,28,253,2791,1078,387,691,181,510,1713,1441,272,576,567,9,2215,511,1704,255,257,252,69,205,167,419,515,445,339,314,374,235,409,300,190,111,48,68,40.59999847,41.20000076,41,8493605.48431396,13875.5494395449
220,Richnor Springs,652,15,576,1,1,0,24,35,25,316,336,295,242,53,169,73,24,5,24,242,138,48,90,22,68,104,86,18,65,65,0,177,73,104,36,56,26,24,46,18,48,38,63,35,17,31,12,30,48,39,9,8,17,39,29.39999962,41.90000153,933722.502258301,4383.76174012409
221,Ridgely's Delight,817,496,140,1,88,0,22,70,55,396,421,489,414,75,141,273,41,14,20,414,107,76,31,11,20,307,190,117,41,41,0,373,66,307,28,29,9,3,19,108,231,130,74,26,30,33,17,20,20,7,8,4,6,29.79999924,32.20000076,30.79999924,1369035.66766357,5157.70695687327
222,Rognel Heights,1535,23,1453,2,1,0,10,46,35,699,836,703,622,81,501,121,30,14,37,622,405,151,254,57,197,217,182,35,169,166,3,453,239,214,51,82,100,34,72,32,77,94,88,73,95,98,69,134,80,67,54,81,67,47.59999847,41.90000153,49.29999924,4736549.40362549,8705.37729548735
223,Roland Park,4895,3535,389,8,560,1,55,347,212,2324,2571,2285,2128,157,1160,968,82,26,49,2128,1059,890,169,43,126,1069,869,200,459,456,3,1669,603,1066,171,227,239,57,187,345,352,321,272,240,262,349,135,290,282,273,198,163,309,46.40000153,46.70000076,46.79999924,26694668.0325317,34803.6412553305
224,Rosebank,403,190,153,0,10,0,12,38,26,201,202,244,233,11,95,138,0,4,7,233,96,56,40,8,32,137,91,46,41,41,0,192,55,137,10,8,26,0,26,8,20,38,29,26,25,31,18,36,26,28,13,11,5,41.79999924,40.79999924,42.29999924,1843468.29296875,7006.65539035812
225,Saint Paul,122,46,20,2,1,0,26,27,38,64,58,38,22,16,21,1,0,0,16,22,8,3,5,1,4,14,12,2,6,6,0,16,2,14,7,16,11,6,7,13,15,8,5,3,3,7,1,5,5,2,0,0,0,23.70000076,28.5,29.20000076,2620286.13909912,7942.54991729825
226,Sandtown-Winchester,6162,128,5741,9,27,4,65,188,109,2766,3396,3176,2438,738,928,1510,120,21,597,2438,1440,301,1139,203,936,998,801,197,844,835,9,1594,605,989,344,442,394,135,260,225,382,414,399,362,336,443,245,507,332,223,147,64,91,40.5,36.90000153,41.90000153,11332398.7055664,14215.8061201107
227,Seton Business Park,172,23,146,0,0,0,0,3,2,74,98,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,4,5,26,27,23,10,17,41,70.69999695,66.59999847,79.30000305,10898048.1480103,16332.3073083375
228,Seton Hill,1129,203,813,1,17,1,11,83,38,527,602,713,636,77,54,582,43,0,34,636,233,56,177,39,138,403,339,64,142,141,1,494,92,402,68,56,59,14,38,60,114,113,73,59,63,76,32,100,56,44,10,18,7,38.29999924,36.70000076,37.29999924,2077779.83642578,6754.40898112221
229,Sharp-Leadenhall,1260,569,569,2,48,0,18,54,45,672,588,695,605,90,40,565,63,12,15,605,155,62,93,22,71,450,283,167,58,56,2,547,99,448,56,55,50,7,41,159,309,152,103,55,48,40,39,52,29,14,11,5,2,29.60000038,32.09999847,27.89999962,1924411.15789795,5666.50568876106
230,Shipley Hill,1404,45,1275,8,3,2,26,45,44,643,761,844,601,243,230,371,69,0,174,601,367,101,266,63,203,234,177,57,192,191,1,409,176,233,63,103,100,22,64,52,145,80,94,63,72,99,43,88,80,72,35,15,39,38.59999847,36.29999924,42.5,5000414.97808838,11586.4046292387
231,South Clifton Park,567,20,510,1,0,0,8,28,12,264,303,339,225,114,125,100,53,3,58,225,118,26,92,28,64,107,100,7,53,52,1,172,66,106,33,19,20,13,29,20,48,33,21,29,21,28,24,46,51,39,7,17,25,46.09999847,41.29999924,47.70000076,2627229.84521484,9640.35674947549
232,Ten Hills,1280,401,755,8,10,0,17,89,27,593,687,696,679,17,279,400,15,1,1,679,372,205,167,42,125,307,266,41,168,166,2,511,206,305,57,48,45,21,40,38,154,95,90,86,63,104,49,82,81,77,40,19,10,41.79999924,43.70000076,40.20000076,9288997.58355713,14037.7497482492
233,The Orchards,566,425,66,0,30,0,4,41,22,245,321,197,186,11,172,14,5,3,3,186,158,138,20,3,17,28,18,10,76,76,0,110,82,28,34,43,53,12,32,15,11,42,29,41,28,28,25,26,32,36,29,7,9,38.40000153,33.90000153,39.40000153,5893420.1809082,12767.0337049019
234,Towanda-Grantley,988,44,866,5,2,1,23,47,40,473,515,535,386,149,152,234,40,1,108,386,218,66,152,36,116,168,141,27,105,103,2,281,115,166,42,55,38,13,41,23,73,89,49,38,68,54,40,101,57,68,33,24,26,45.79999924,45.90000153,45.20000076,3917556.12237549,9536.52265362979
235,Tremont,889,63,772,0,4,0,17,33,24,401,488,414,366,48,158,208,29,4,15,366,205,67,138,5,133,161,144,17,85,84,1,281,121,160,41,73,46,19,55,45,61,74,53,56,38,55,27,77,32,34,22,14,16,38,36.09999847,40.20000076,1121936.1451416,4556.59430196059
236,Tuscany-Canterbury,3738,2054,171,2,1182,0,59,270,174,1831,1907,2424,2230,194,738,1492,83,28,83,2230,614,490,124,43,81,1616,1202,414,194,192,2,2036,422,1614,101,56,50,19,387,570,539,372,187,131,102,127,63,143,188,214,171,140,96,35.79999924,35.40000153,35.70000076,4060542.67584229,9293.52790479634
237,Union Square,1011,256,634,7,6,2,26,80,57,458,553,597,446,151,153,293,42,1,108,446,218,98,120,24,96,228,185,43,109,106,3,337,112,225,49,67,60,13,38,37,81,88,98,77,59,62,45,86,44,24,12,4,10,38,42.09999847,36.70000076,1848251.25683594,5897.72777143811
238,Uplands,1270,40,1108,8,24,0,14,76,33,529,741,599,534,65,338,196,46,5,14,534,314,142,172,26,146,220,176,44,158,156,2,376,158,218,96,51,53,33,43,57,126,91,126,76,59,80,37,79,49,75,22,18,17,37.5,36.59999847,40.09999847,5605047.67785645,10028.4261837511
239,Upper Fells Point,3959,2756,175,19,227,0,371,411,720,1927,2032,2193,1857,336,901,956,139,38,159,1857,687,498,189,67,122,1170,645,525,300,291,9,1557,396,1161,197,128,113,11,72,390,889,653,440,201,186,172,92,120,97,59,37,16,17,31.60000038,33.79999924,30.60000038,3544659.00537109,8692.29041330338
240,Villages of Homeland,487,303,111,2,51,0,2,18,27,209,278,332,305,27,172,133,7,8,12,305,114,72,42,9,33,191,165,26,55,55,0,250,59,191,18,20,18,0,30,35,42,49,38,26,31,43,17,32,21,25,14,2,5,38.40000153,36,41.70000076,873857.932556152,3701.63914083332
241,Violetville,2403,1535,533,10,62,1,78,184,155,1057,1346,1127,1039,88,596,443,45,9,34,1039,490,261,229,72,157,549,462,87,243,238,5,796,252,544,131,112,110,25,110,72,169,183,145,146,140,142,58,139,128,133,115,76,174,46.79999924,44.20000076,48.79999924,16518678.1942139,17867.3371843716
242,Walbrook,2244,39,2087,8,9,0,16,85,26,1029,1215,1135,911,224,399,512,90,13,121,911,522,153,369,50,319,389,323,66,247,245,2,664,277,387,117,150,169,43,119,67,141,164,135,124,101,130,81,190,139,99,66,30,48,40.40000153,38.5,42.40000153,5566722.69085693,11197.5837107908
243,Waltherson,6181,1328,4295,30,80,1,149,298,245,2898,3283,2753,2477,276,1844,633,89,70,117,2477,1602,803,799,199,600,875,686,189,743,733,10,1734,869,865,337,338,398,113,310,187,375,481,437,398,439,444,188,475,390,247,133,98,53,40.5,38.70000076,40,20605512.5392456,22359.4659078215
244,Washington Hill,2364,752,965,20,239,2,189,197,361,1109,1255,1335,1184,151,276,908,50,17,84,1184,446,192,254,57,197,738,557,181,222,219,3,962,227,735,84,91,144,30,72,133,420,339,212,118,85,99,49,106,152,71,39,22,12,34.5,33.20000076,34.29999924,4382482.08154297,10185.2083917614
245,Washington Village/Pigtown,4823,1452,2591,19,303,2,130,326,276,2318,2505,2744,2231,513,991,1240,212,67,234,2231,1011,420,591,121,470,1220,911,309,506,488,18,1725,523,1202,236,258,237,52,171,229,686,648,466,302,246,268,119,264,174,114,83,35,37,34.59999847,34.40000153,34.59999847,9103214.31323242,16899.0940507203
246,Waverly,2383,501,1680,5,32,1,45,119,93,1116,1267,1233,1038,195,567,471,74,32,89,1038,527,227,300,64,236,511,374,137,221,213,8,817,314,503,114,111,107,39,97,104,195,205,193,180,111,171,88,166,115,126,76,39,30,40.70000076,40.79999924,43.20000076,4328906.96966553,8547.81739311024
247,West Arlington,1773,73,1536,10,13,1,53,87,92,816,957,836,688,148,326,362,38,23,87,688,373,149,224,47,177,315,283,32,191,188,3,497,185,312,93,73,73,23,82,59,101,116,119,70,96,98,103,129,148,106,68,64,45,47.59999847,41.09999847,48.29999924,7599062.91381836,11606.8080072435
248,West Forest Park,2156,63,1978,4,7,0,30,74,54,934,1222,1108,938,170,408,530,81,10,79,938,525,170,355,72,283,413,358,55,274,270,4,664,255,409,112,148,134,34,106,82,165,165,129,125,135,157,81,125,122,53,61,55,38,39.5,37.29999924,41.20000076,10308533.6634521,20335.2163151349
249,Westfield,3111,1160,1572,18,29,3,98,231,174,1453,1658,1351,1248,103,967,281,35,27,41,1248,801,479,322,84,238,447,339,108,386,383,3,862,418,444,149,200,201,57,128,86,177,228,258,224,243,225,124,211,166,107,81,30,39,40.70000076,38,43.5,11958387.4431152,14412.8510204172
250,Westgate,2647,649,1726,5,51,2,72,142,157,1224,1423,1186,1110,76,508,602,38,3,35,1110,631,333,298,67,231,479,381,98,303,302,1,807,329,478,177,149,150,36,121,98,212,248,219,173,178,145,92,151,133,106,78,32,26,38.20000076,38.09999847,40,9275797.14117432,18857.3372428304
251,Westport,1287,97,1099,8,8,0,23,52,27,593,694,639,471,168,155,316,93,14,61,471,322,70,252,32,220,149,121,28,197,192,5,274,130,144,129,114,126,22,69,35,83,92,78,66,52,89,55,82,30,33,25,24,14,33.59999847,31.29999924,35.20000076,14476549.9310913,23997.3123532578
252,Winchester,1144,17,1081,1,0,0,5,40,18,573,571,576,395,181,158,237,47,15,119,395,264,41,223,30,193,131,91,40,128,122,6,267,142,125,63,82,89,20,97,52,48,67,69,58,61,73,29,86,64,49,20,21,34,40.20000076,35.20000076,44.59999847,2257710.22033691,8733.56849311172
253,Windsor Hills,1498,76,1330,1,13,0,25,53,20,702,796,720,621,99,376,245,25,15,59,621,374,154,220,44,176,247,196,51,175,170,5,446,204,242,69,93,64,22,65,52,102,94,104,78,88,67,76,156,89,88,42,19,40,43.29999924,44.70000076,43.90000153,6529974.28411865,11150.2318667276
254,Winston-Govans,1268,67,1159,0,0,0,10,32,35,535,733,542,426,116,173,253,30,16,70,426,272,85,187,29,158,154,130,24,142,141,1,284,131,153,79,97,116,25,56,39,70,88,70,90,81,83,39,96,55,46,27,19,21,37.29999924,35.5,39.90000153,3154658.88189697,7380.5863187428
255,Woodberry,1253,868,222,10,32,2,34,85,66,619,634,733,606,127,380,226,60,29,38,606,277,178,99,30,69,329,251,78,112,111,1,494,166,328,52,48,33,21,27,27,99,157,125,102,80,80,36,74,74,79,25,21,54,44.59999847,42.5,45.40000153,14913021.0405884,18282.9359312919
256,Woodbourne-McCabe,813,15,748,1,0,0,20,29,38,363,450,371,312,59,147,165,21,1,37,312,201,60,141,23,118,111,85,26,117,113,4,195,88,107,41,60,67,22,39,28,63,57,64,43,33,45,27,58,37,20,38,24,9,38.70000076,35.29999924,39.29999924,2094037.52593994,6195.15266614035
